iter	Passed	Remaining
0	239	47636
1	498	49322
2	694	45606
3	932	45682
4	1116	43531
5	1283	41515
6	1479	40804
7	1701	40841
8	1868	39648
9	2121	40306
10	2291	39374
11	2519	39466
12	2687	38655
13	2840	37736
14	3036	37446
15	3236	37218
16	3446	37097
17	3655	36962
18	3867	36844
19	4067	36611
20	4275	36446
21	4443	35950
22	4654	35822
23	4847	35547
24	5020	35143
25	5186	34711
26	5363	34366
27	5527	33955
28	5691	33560
29	5866	33242
30	6070	33092
31	6230	32710
32	6426	32519
33	6635	32397
34	6816	32136
35	7020	31982
36	7167	31576
37	7332	31257
38	7487	30908
39	7724	30899
40	7923	30726
41	8151	30664
42	8424	30759
43	8657	30695
44	8861	30523
45	9136	30586
46	9535	31039
47	9790	31002
48	10057	30992
49	10384	31154
50	10676	31192
51	10884	30979
52	11101	30792
53	11304	30565
54	11473	30249
55	11649	29955
56	11830	29681
57	12019	29427
58	12180	29109
59	12389	28908
60	12621	28759
61	12948	28821
62	13226	28762
63	13458	28599
64	13701	28456
65	13931	28286
66	14184	28157
67	14429	28009
68	14666	27844
69	14903	27678
70	15133	27496
71	15356	27300
72	15591	27124
73	15830	26955
74	16067	26779
75	16319	26627
76	16576	26479
77	16810	26293
78	17039	26098
79	17264	25896
80	17499	25708
81	17744	25535
82	17990	25360
83	18254	25208
84	18427	24931
85	18624	24688
86	18883	24526
87	19123	24339
88	19342	24123
89	19582	23934
90	19824	23745
91	20081	23573
92	20313	23371
93	20548	23171
94	20787	22975
95	21034	22787
96	21257	22572
97	21509	22387
98	21765	22205
99	22029	22029
100	22263	21823
101	22513	21630
102	22755	21429
103	23020	21249
104	23283	21066
105	23534	20870
106	23753	20645
107	23997	20442
108	24236	20233
109	24472	20022
110	24728	19827
111	24932	19589
112	25111	19333
113	25330	19108
114	25483	18835
115	25634	18562
116	25785	18292
117	25952	18034
118	26144	17795
119	26314	17542
120	26460	17275
121	26625	17022
122	26810	16783
123	26961	16524
124	27120	16272
125	27268	16014
126	27426	15765
127	27590	15519
128	27826	15315
129	28069	15114
130	28242	14875
131	28496	14679
132	28732	14474
133	28939	14253
134	29159	14039
135	29431	13850
136	29657	13638
137	29888	13428
138	30126	13221
139	30373	13017
140	30611	12808
141	30884	12614
142	31108	12399
143	31354	12193
144	31618	11993
145	31863	11785
146	32106	11575
147	32325	11357
148	32568	11147
149	32807	10935
150	33042	10722
151	33282	10510
152	33517	10296
153	33742	10078
154	33950	9856
155	34219	9651
156	34442	9433
157	34719	9229
158	34948	9011
159	35187	8796
160	35423	8580
161	35665	8365
162	35928	8155
163	36203	7947
164	36416	7724
165	36703	7517
166	36954	7302
167	37184	7082
168	37448	6869
169	37672	6648
170	37902	6427
171	38119	6205
172	38340	5983
173	38566	5762
174	38775	5539
175	38998	5317
176	39215	5095
177	39426	4872
178	39634	4649
179	39792	4421
180	39980	4196
181	40211	3976
182	40434	3756
183	40669	3536
184	40886	3315
185	41052	3089
186	41205	2864
187	41363	2640
188	41543	2417
189	41715	2195
190	41897	1974
191	42068	1752
192	42231	1531
193	42391	1311
194	42533	1090
195	42713	871
196	42864	652
197	43056	434
198	43222	217
199	43398	0
